model,project,bug_id,status
GPT5,Math,1,not pass
GPT5,Math,2,pass
GPT5,Math,3,pass
GPT5,Math,4,pass
GPT5,Math,5,pass
GPT5,Math,6,not pass
GPT5,Math,7,not pass
GPT5,Math,8,pass
GPT5,Math,9,not pass
GPT5,Math,10,pass
GPT5,Math,11,pass
GPT5,Math,13,not pass
GPT5,Math,14,not pass
GPT5,Math,15,not pass
GPT5,Math,16,not pass
GPT5,Math,17,not pass
GPT5,Math,18,not pass
GPT5,Math,19,not pass
GPT5,Math,20,not pass
GPT5,Math,21,not pass
GPT5,Math,22,not pass
GPT5,Math,23,not pass
GPT5,Math,24,not pass
GPT5,Math,25,not pass
GPT5,Math,26,not pass
GPT5,Math,27,pass
GPT5,Math,28,pass
GPT5,Math,29,pass
GPT5,Math,30,pass
GPT5,Math,31,not pass
GPT5,Math,32,not pass
GPT5,Math,33,not compilable
GPT5,Math,34,pass
GPT5,Math,35,pass
GPT5,Math,36,not pass
GPT5,Math,37,not pass
GPT5,Math,38,not pass
GPT5,Math,39,not pass
GPT5,Math,40,not pass
GPT5,Math,41,pass
GPT5,Math,42,not pass
GPT5,Math,43,not pass
GPT5,Math,44,not compilable
GPT5,Math,45,not compilable
GPT5,Math,46,not pass
GPT5,Math,47,not pass
GPT5,Math,48,not pass
GPT5,Math,49,pass
GPT5,Math,50,pass
GPT5,Math,51,not pass
GPT5,Math,52,not pass
GPT5,Math,53,not pass
GPT5,Math,54,not pass
GPT5,Math,55,not pass
GPT5,Math,56,pass
GPT5,Math,57,not compilable
GPT5,Math,58,not compilable
GPT5,Math,59,pass
GPT5,Math,60,pass
GPT5,Math,61,not pass
GPT5,Math,62,pass
GPT5,Math,63,not pass
GPT5,Math,64,not pass
GPT5,Math,65,pass
GPT5,Math,66,not compilable
GPT5,Math,67,not pass
GPT5,Math,68,not pass
GPT5,Math,69,not pass
GPT5,Math,70,pass
GPT5,Math,71,not compilable
GPT5,Math,72,pass
GPT5,Math,73,not pass
GPT5,Math,74,pass
GPT5,Math,75,pass
GPT5,Math,76,not pass
GPT5,Math,77,pass
GPT5,Math,78,not pass
GPT5,Math,79,pass
GPT5,Math,80,not pass
GPT5,Math,81,not pass
GPT5,Math,82,pass
GPT5,Math,83,not pass
GPT5,Math,84,not pass
GPT5,Math,85,pass
GPT5,Math,86,pass
GPT5,Math,87,pass
GPT5,Math,88,not pass
GPT5,Math,89,pass
GPT5,Math,90,not pass
GPT5,Math,91,pass
GPT5,Math,92,pass
GPT5,Math,93,not pass
GPT5,Math,94,pass
GPT5,Math,95,pass
GPT5,Math,96,not pass
GPT5,Math,97,not pass
GPT5,Math,98,pass
GPT5,Math,99,not pass
GPT5,Math,100,not pass
GPT5,Math,101,pass
GPT5,Math,102,not pass
GPT5,Math,103,not pass
GPT5,Math,105,pass
GPT5,Math,106,not pass
