project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,113,1,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,114,2,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,115,3,11,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,116,4,3,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,117,5,3,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,118,6,3,0,1,1,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,119,7,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,120,8,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,121,9,1,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,122,10,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,123,11,9,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,124,12,5,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,125,13,3,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,126,14,5,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,127,15,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,128,16,1,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,156,1,,,,,
